"Model","h","q025","q10","q90","q975","n_origins"
"ARIMA(2,1,2)+drift",1,-546.629005683685,-440.000487616316,250.02823443748,791.703925276667,24
"ARX(0)-GARCH(1,1) std",1,-591.001144028548,-510.934054664525,339.299877056722,799.580115928232,24
"Holt-Winters additive",1,-820.008123384664,-579.896331297292,253.579621547946,642.609893900574,24
"RW with drift",1,-566.337675272324,-490.515304863744,362.294660164087,822.542720279285,24
"ARIMA(2,1,2)+drift",2,-645.844368360411,-605.562191897127,409.057771393596,948.308241158124,24
"ARX(0)-GARCH(1,1) std",2,-743.735012341147,-679.480992401688,477.195005497428,999.206046311266,24
"Holt-Winters additive",2,-1134.6214073542,-687.931458654173,374.703893493497,774.934165124708,24
"RW with drift",2,-693.357200692865,-633.778166480979,522.633562648206,1041.84923273161,24
"ARIMA(2,1,2)+drift",3,-631.614887222066,-527.065146165245,678.763155975045,915.913567377515,23
"ARX(0)-GARCH(1,1) std",3,-796.730043578215,-679.523596995405,701.284620226245,997.915621503528,23
"Holt-Winters additive",3,-1477.29322560121,-722.54297866548,537.541700696357,757.888493195725,23
"RW with drift",3,-720.673040330664,-618.513758820097,767.346428923961,1061.80308298063,23
"ARIMA(2,1,2)+drift",4,-733.529068201852,-580.544610721376,745.389204541946,820.100727459898,23
"ARX(0)-GARCH(1,1) std",4,-995.274572263402,-749.194678156677,800.805639274273,874.519021035999,23
"Holt-Winters additive",4,-1605.31875140683,-969.337696981055,577.493983391361,676.058317397474,23
"RW with drift",4,-899.770685391932,-656.215854801712,888.257861492707,959.759132955584,23
"ARIMA(2,1,2)+drift",5,-727.02882906541,-641.872056145151,480.416694503269,775.620641840983,23
"ARX(0)-GARCH(1,1) std",5,-883.549208077607,-792.644997566688,373.752031909014,849.294382840754,23
"Holt-Winters additive",5,-1189.76101085826,-969.708587665507,472.783361035492,620.559228030342,23
"RW with drift",5,-772.835342896253,-687.596249456509,489.612437359811,956.040404834416,23
"ARIMA(2,1,2)+drift",6,-736.535568930206,-650.280313765488,471.954324055524,730.779284321936,23
"ARX(0)-GARCH(1,1) std",6,-977.989318326441,-901.160163451705,476.924556453707,762.307879029538,23
"Holt-Winters additive",6,-1403.95753700916,-1240.37627900863,379.219497651392,829.519012049232,23
"RW with drift",6,-844.537170580421,-762.729529858782,586.00475823945,896.015735240891,23
"ARIMA(2,1,2)+drift",7,-792.246542275177,-667.391872263077,466.371316727798,655.045139901075,23
"ARX(0)-GARCH(1,1) std",7,-1109.89305626269,-836.402005773818,390.541913840323,669.013235406728,23
"Holt-Winters additive",7,-1367.08936966062,-954.843871744027,308.041861033914,998.701157368784,23
"RW with drift",7,-952.090340288126,-663.718763856226,519.852609631681,826.794999085298,23
"ARIMA(2,1,2)+drift",8,-713.470176619317,-680.524282151277,395.880663331761,549.785094779053,23
"ARX(0)-GARCH(1,1) std",8,-987.210727301314,-839.423959319532,311.576005854463,544.486554750543,23
"Holt-Winters additive",8,-1112.3339617472,-1085.80664114223,282.93432001576,863.648616448281,23
"RW with drift",8,-783.434305578096,-656.302278174055,478.008444679965,724.808570383199,23
"ARIMA(2,1,2)+drift",9,-733.376696545658,-635.708342752082,363.801743134833,560.418755869679,23
"ARX(0)-GARCH(1,1) std",9,-1026.09447798873,-931.145512783455,232.418048436072,535.709874094365,23
"Holt-Winters additive",9,-1456.17002739755,-1366.60169307723,295.226192209596,883.261402361907,23
"RW with drift",9,-795.268808688851,-712.663030158434,419.836496098389,738.572141681099,23
"ARIMA(2,1,2)+drift",10,-789.420999584315,-582.000783001658,292.007184339274,540.218754815535,23
"ARX(0)-GARCH(1,1) std",10,-1194.33911124328,-893.701385094729,249.963551890338,458.355466734049,23
"Holt-Winters additive",10,-1720.89332264534,-1574.4151347155,453.309316021646,791.985702002975,23
"RW with drift",10,-934.693213480919,-643.446099128481,473.715319173015,673.869764179619,23
"ARIMA(2,1,2)+drift",11,-747.595504885406,-574.3105310538,305.791772204969,388.774036513233,23
"ARX(0)-GARCH(1,1) std",11,-1109.0080223676,-1026.0687486714,175.682759411034,202.279685782587,23
"Holt-Winters additive",11,-2021.47791155098,-1301.49057732723,441.15867267861,575.87598471289,23
"RW with drift",11,-823.280953874838,-753.553772893769,428.256812949484,443.293993525562,23
"ARIMA(2,1,2)+drift",12,-819.666520539388,-541.829961832735,298.236429572472,326.304600059767,23
"ARX(0)-GARCH(1,1) std",12,-1203.13404332898,-893.246897259192,33.199373902948,213.257063108012,23
"Holt-Winters additive",12,-1898.95304201127,-1646.05945443553,483.917807150452,579.669969925464,23
"RW with drift",12,-887.39308780329,-599.534571670982,316.094199275714,468.977398866753,23
