"date","female_employment","imputed"
1948-01-01,16325,FALSE
1948-02-01,16361,FALSE
1948-03-01,16240,FALSE
1948-04-01,16706,FALSE
1948-05-01,16344,FALSE
1948-06-01,16934,FALSE
1948-07-01,16999,FALSE
1948-08-01,16631,FALSE
1948-09-01,16861,FALSE
1948-10-01,16564,FALSE
1948-11-01,16682,FALSE
1948-12-01,16879,FALSE
1949-01-01,16662,FALSE
1949-02-01,16815,FALSE
1949-03-01,16861,FALSE
1949-04-01,16585,FALSE
1949-05-01,16686,FALSE
1949-06-01,16487,FALSE
1949-07-01,16706,FALSE
1949-08-01,16757,FALSE
1949-09-01,16725,FALSE
1949-10-01,16857,FALSE
1949-11-01,17003,FALSE
1949-12-01,16862,FALSE
1950-01-01,16778,FALSE
1950-02-01,16829,FALSE
1950-03-01,16786,FALSE
1950-04-01,17355,FALSE
1950-05-01,17138,FALSE
1950-06-01,17431,FALSE
1950-07-01,17254,FALSE
1950-08-01,17649,FALSE
1950-09-01,17429,FALSE
1950-10-01,17769,FALSE
1950-11-01,17785,FALSE
1950-12-01,17694,FALSE
1951-01-01,17882,FALSE
1951-02-01,17835,FALSE
1951-03-01,18213,FALSE
1951-04-01,18012,FALSE
1951-05-01,18216,FALSE
1951-06-01,17948,FALSE
1951-07-01,18542,FALSE
1951-08-01,18305,FALSE
1951-09-01,18088,FALSE
1951-10-01,18305,FALSE
1951-11-01,18245,FALSE
1951-12-01,18556,FALSE
1952-01-01,18602,FALSE
1952-02-01,18550,FALSE
1952-03-01,18220,FALSE
1952-04-01,18314,FALSE
1952-05-01,18482,FALSE
1952-06-01,18544,FALSE
1952-07-01,18382,FALSE
1952-08-01,18423,FALSE
1952-09-01,19041,FALSE
1952-10-01,18558,FALSE
1952-11-01,19066,FALSE
1952-12-01,18844,FALSE
1953-01-01,19082,FALSE
1953-02-01,19011,FALSE
1953-03-01,19118,FALSE
1953-04-01,18869,FALSE
1953-05-01,18587,FALSE
1953-06-01,18977,FALSE
1953-07-01,18923,FALSE
1953-08-01,18725,FALSE
1953-09-01,18677,FALSE
1953-10-01,18714,FALSE
1953-11-01,18446,FALSE
1953-12-01,18029,FALSE
1954-01-01,18091,FALSE
1954-02-01,18691,FALSE
1954-03-01,18661,FALSE
1954-04-01,18577,FALSE
1954-05-01,18437,FALSE
1954-06-01,18336,FALSE
1954-07-01,18191,FALSE
1954-08-01,18311,FALSE
1954-09-01,18632,FALSE
1954-10-01,18708,FALSE
1954-11-01,18677,FALSE
1954-12-01,18477,FALSE
1955-01-01,18819,FALSE
1955-02-01,18789,FALSE
1955-03-01,18834,FALSE
1955-04-01,19319,FALSE
1955-05-01,19144,FALSE
1955-06-01,19307,FALSE
1955-07-01,19679,FALSE
1955-08-01,19981,FALSE
1955-09-01,19878,FALSE
1955-10-01,19937,FALSE
1955-11-01,20078,FALSE
1955-12-01,20374,FALSE
1956-01-01,20284,FALSE
1956-02-01,20153,FALSE
1956-03-01,20034,FALSE
1956-04-01,20241,FALSE
1956-05-01,20482,FALSE
1956-06-01,20423,FALSE
1956-07-01,20418,FALSE
1956-08-01,20548,FALSE
1956-09-01,20673,FALSE
1956-10-01,20579,FALSE
1956-11-01,20523,FALSE
1956-12-01,20616,FALSE
1957-01-01,20422,FALSE
1957-02-01,20785,FALSE
1957-03-01,20762,FALSE
1957-04-01,20590,FALSE
1957-05-01,20537,FALSE
1957-06-01,20624,FALSE
1957-07-01,20909,FALSE
1957-08-01,20634,FALSE
1957-09-01,20831,FALSE
1957-10-01,20858,FALSE
1957-11-01,20741,FALSE
1957-12-01,20909,FALSE
1958-01-01,20571,FALSE
1958-02-01,20543,FALSE
1958-03-01,20555,FALSE
1958-04-01,20522,FALSE
1958-05-01,20641,FALSE
1958-06-01,20568,FALSE
1958-07-01,20489,FALSE
1958-08-01,20663,FALSE
1958-09-01,20603,FALSE
1958-10-01,20694,FALSE
1958-11-01,20739,FALSE
1958-12-01,20797,FALSE
1959-01-01,20952,FALSE
1959-02-01,20805,FALSE
1959-03-01,20986,FALSE
1959-04-01,21146,FALSE
1959-05-01,21149,FALSE
1959-06-01,21275,FALSE
1959-07-01,21221,FALSE
1959-08-01,21222,FALSE
1959-09-01,21191,FALSE
1959-10-01,21342,FALSE
1959-11-01,21239,FALSE
1959-12-01,21410,FALSE
1960-01-01,21376,FALSE
1960-02-01,21515,FALSE
1960-03-01,21135,FALSE
1960-04-01,21894,FALSE
1960-05-01,22031,FALSE
1960-06-01,22244,FALSE
1960-07-01,22075,FALSE
1960-08-01,22029,FALSE
1960-09-01,22259,FALSE
1960-10-01,21830,FALSE
1960-11-01,22123,FALSE
1960-12-01,22051,FALSE
1961-01-01,22077,FALSE
1961-02-01,22158,FALSE
1961-03-01,22301,FALSE
1961-04-01,21971,FALSE
1961-05-01,21981,FALSE
1961-06-01,22260,FALSE
1961-07-01,22014,FALSE
1961-08-01,22086,FALSE
1961-09-01,21876,FALSE
1961-10-01,22131,FALSE
1961-11-01,22190,FALSE
1961-12-01,22077,FALSE
1962-01-01,22248,FALSE
1962-02-01,22449,FALSE
1962-03-01,22372,FALSE
1962-04-01,22363,FALSE
1962-05-01,22410,FALSE
1962-06-01,22519,FALSE
1962-07-01,22438,FALSE
1962-08-01,22731,FALSE
1962-09-01,22795,FALSE
1962-10-01,22671,FALSE
1962-11-01,22603,FALSE
1962-12-01,22630,FALSE
1963-01-01,22771,FALSE
1963-02-01,22878,FALSE
1963-03-01,22970,FALSE
1963-04-01,23132,FALSE
1963-05-01,23116,FALSE
1963-06-01,22998,FALSE
1963-07-01,23097,FALSE
1963-08-01,23042,FALSE
1963-09-01,23188,FALSE
1963-10-01,23351,FALSE
1963-11-01,23358,FALSE
1963-12-01,23332,FALSE
1964-01-01,23359,FALSE
1964-02-01,23648,FALSE
1964-03-01,23638,FALSE
1964-04-01,23969,FALSE
1964-05-01,23998,FALSE
1964-06-01,23908,FALSE
1964-07-01,23769,FALSE
1964-08-01,23915,FALSE
1964-09-01,23854,FALSE
1964-10-01,23901,FALSE
1964-11-01,23952,FALSE
1964-12-01,24068,FALSE
1965-01-01,24141,FALSE
1965-02-01,24135,FALSE
1965-03-01,24345,FALSE
1965-04-01,24420,FALSE
1965-05-01,24557,FALSE
1965-06-01,24785,FALSE
1965-07-01,24978,FALSE
1965-08-01,24920,FALSE
1965-09-01,24907,FALSE
1965-10-01,25134,FALSE
1965-11-01,25147,FALSE
1965-12-01,25379,FALSE
1966-01-01,25465,FALSE
1966-02-01,25424,FALSE
1966-03-01,25433,FALSE
1966-04-01,25581,FALSE
1966-05-01,25666,FALSE
1966-06-01,25811,FALSE
1966-07-01,25925,FALSE
1966-08-01,26164,FALSE
1966-09-01,26351,FALSE
1966-10-01,26403,FALSE
1966-11-01,26735,FALSE
1966-12-01,26671,FALSE
1967-01-01,26419,FALSE
1967-02-01,26432,FALSE
1967-03-01,26334,FALSE
1967-04-01,26700,FALSE
1967-05-01,26613,FALSE
1967-06-01,26791,FALSE
1967-07-01,26914,FALSE
1967-08-01,27077,FALSE
1967-09-01,27154,FALSE
1967-10-01,27278,FALSE
1967-11-01,27395,FALSE
1967-12-01,27628,FALSE
1968-01-01,27114,FALSE
1968-02-01,27426,FALSE
1968-03-01,27572,FALSE
1968-04-01,27573,FALSE
1968-05-01,28022,FALSE
1968-06-01,27998,FALSE
1968-07-01,27856,FALSE
1968-08-01,27754,FALSE
1968-09-01,28002,FALSE
1968-10-01,28001,FALSE
1968-11-01,28189,FALSE
1968-12-01,28199,FALSE
1969-01-01,28294,FALSE
1969-02-01,28612,FALSE
1969-03-01,28687,FALSE
1969-04-01,28831,FALSE
1969-05-01,28805,FALSE
1969-06-01,29140,FALSE
1969-07-01,29245,FALSE
1969-08-01,29289,FALSE
1969-09-01,29293,FALSE
1969-10-01,29488,FALSE
1969-11-01,29508,FALSE
1969-12-01,29685,FALSE
1970-01-01,29668,FALSE
1970-02-01,29609,FALSE
1970-03-01,29666,FALSE
1970-04-01,29850,FALSE
1970-05-01,29489,FALSE
1970-06-01,29586,FALSE
1970-07-01,29819,FALSE
1970-08-01,29774,FALSE
1970-09-01,29570,FALSE
1970-10-01,29830,FALSE
1970-11-01,29700,FALSE
1970-12-01,29661,FALSE
1971-01-01,29904,FALSE
1971-02-01,29778,FALSE
1971-03-01,29677,FALSE
1971-04-01,29703,FALSE
1971-05-01,29758,FALSE
1971-06-01,29606,FALSE
1971-07-01,29769,FALSE
1971-08-01,29983,FALSE
1971-09-01,30126,FALSE
1971-10-01,30266,FALSE
1971-11-01,30482,FALSE
1971-12-01,30619,FALSE
1972-01-01,30881,FALSE
1972-02-01,30934,FALSE
1972-03-01,31078,FALSE
1972-04-01,31095,FALSE
1972-05-01,31209,FALSE
1972-06-01,31137,FALSE
1972-07-01,31201,FALSE
1972-08-01,31370,FALSE
1972-09-01,31345,FALSE
1972-10-01,31420,FALSE
1972-11-01,31626,FALSE
1972-12-01,31792,FALSE
1973-01-01,31643,FALSE
1973-02-01,32096,FALSE
1973-03-01,32288,FALSE
1973-04-01,32479,FALSE
1973-05-01,32645,FALSE
1973-06-01,32849,FALSE
1973-07-01,32763,FALSE
1973-08-01,32828,FALSE
1973-09-01,32986,FALSE
1973-10-01,33202,FALSE
1973-11-01,33410,FALSE
1973-12-01,33343,FALSE
1974-01-01,33253,FALSE
1974-02-01,33526,FALSE
1974-03-01,33662,FALSE
1974-04-01,33716,FALSE
1974-05-01,33726,FALSE
1974-06-01,33857,FALSE
1974-07-01,34159,FALSE
1974-08-01,34014,FALSE
1974-09-01,33979,FALSE
1974-10-01,33950,FALSE
1974-11-01,33755,FALSE
1974-12-01,33707,FALSE
1975-01-01,33660,FALSE
1975-02-01,33467,FALSE
1975-03-01,33555,FALSE
1975-04-01,33645,FALSE
1975-05-01,33755,FALSE
1975-06-01,33846,FALSE
1975-07-01,34050,FALSE
1975-08-01,34214,FALSE
1975-09-01,34274,FALSE
1975-10-01,34372,FALSE
1975-11-01,34390,FALSE
1975-12-01,34554,FALSE
1976-01-01,34922,FALSE
1976-02-01,35002,FALSE
1976-03-01,35214,FALSE
1976-04-01,35345,FALSE
1976-05-01,35650,FALSE
1976-06-01,35641,FALSE
1976-07-01,35839,FALSE
1976-08-01,35802,FALSE
1976-09-01,35774,FALSE
1976-10-01,35803,FALSE
1976-11-01,36148,FALSE
1976-12-01,36224,FALSE
1977-01-01,36211,FALSE
1977-02-01,36458,FALSE
1977-03-01,36727,FALSE
1977-04-01,36944,FALSE
1977-05-01,37283,FALSE
1977-06-01,37226,FALSE
1977-07-01,37277,FALSE
1977-08-01,37496,FALSE
1977-09-01,37728,FALSE
1977-10-01,37727,FALSE
1977-11-01,38106,FALSE
1977-12-01,38260,FALSE
1978-01-01,38524,FALSE
1978-02-01,38704,FALSE
1978-03-01,38899,FALSE
1978-04-01,39232,FALSE
1978-05-01,39399,FALSE
1978-06-01,39619,FALSE
1978-07-01,39539,FALSE
1978-08-01,39711,FALSE
1978-09-01,40036,FALSE
1978-10-01,40320,FALSE
1978-11-01,40345,FALSE
1978-12-01,40492,FALSE
1979-01-01,40537,FALSE
1979-02-01,40781,FALSE
1979-03-01,41043,FALSE
1979-04-01,40734,FALSE
1979-05-01,40882,FALSE
1979-06-01,40980,FALSE
1979-07-01,41287,FALSE
1979-08-01,41183,FALSE
1979-09-01,41514,FALSE
1979-10-01,41691,FALSE
1979-11-01,41869,FALSE
1979-12-01,42052,FALSE
1980-01-01,42133,FALSE
1980-02-01,42071,FALSE
1980-03-01,42044,FALSE
1980-04-01,42026,FALSE
1980-05-01,41941,FALSE
1980-06-01,41908,FALSE
1980-07-01,42001,FALSE
1980-08-01,42054,FALSE
1980-09-01,42230,FALSE
1980-10-01,42244,FALSE
1980-11-01,42378,FALSE
1980-12-01,42346,FALSE
1981-01-01,42597,FALSE
1981-02-01,42816,FALSE
1981-03-01,42974,FALSE
1981-04-01,43177,FALSE
1981-05-01,43272,FALSE
1981-06-01,43052,FALSE
1981-07-01,43097,FALSE
1981-08-01,43151,FALSE
1981-09-01,42683,FALSE
1981-10-01,43126,FALSE
1981-11-01,43175,FALSE
1981-12-01,42913,FALSE
1982-01-01,43020,FALSE
1982-02-01,43052,FALSE
1982-03-01,43131,FALSE
1982-04-01,43066,FALSE
1982-05-01,43350,FALSE
1982-06-01,43372,FALSE
1982-07-01,43380,FALSE
1982-08-01,43472,FALSE
1982-09-01,43455,FALSE
1982-10-01,43268,FALSE
1982-11-01,43265,FALSE
1982-12-01,43259,FALSE
1983-01-01,43377,FALSE
1983-02-01,43377,FALSE
1983-03-01,43380,FALSE
1983-04-01,43549,FALSE
1983-05-01,43509,FALSE
1983-06-01,43716,FALSE
1983-07-01,44057,FALSE
1983-08-01,44446,FALSE
1983-09-01,44709,FALSE
1983-10-01,44605,FALSE
1983-11-01,44829,FALSE
1983-12-01,44963,FALSE
1984-01-01,44978,FALSE
1984-02-01,45302,FALSE
1984-03-01,45346,FALSE
1984-04-01,45638,FALSE
1984-05-01,46190,FALSE
1984-06-01,46129,FALSE
1984-07-01,46223,FALSE
1984-08-01,45962,FALSE
1984-09-01,46082,FALSE
1984-10-01,46173,FALSE
1984-11-01,46342,FALSE
1984-12-01,46561,FALSE
1985-01-01,46731,FALSE
1985-02-01,46992,FALSE
1985-03-01,47213,FALSE
1985-04-01,47122,FALSE
1985-05-01,47001,FALSE
1985-06-01,46889,FALSE
1985-07-01,47061,FALSE
1985-08-01,47154,FALSE
1985-09-01,47525,FALSE
1985-10-01,47656,FALSE
1985-11-01,47779,FALSE
1985-12-01,47970,FALSE
1986-01-01,48031,FALSE
1986-02-01,47931,FALSE
1986-03-01,48189,FALSE
1986-04-01,48247,FALSE
1986-05-01,48438,FALSE
1986-06-01,48780,FALSE
1986-07-01,48959,FALSE
1986-08-01,49082,FALSE
1986-09-01,49085,FALSE
1986-10-01,49245,FALSE
1986-11-01,49195,FALSE
1986-12-01,49296,FALSE
1987-01-01,49362,FALSE
1987-02-01,49593,FALSE
1987-03-01,49749,FALSE
1987-04-01,49985,FALSE
1987-05-01,50389,FALSE
1987-06-01,50315,FALSE
1987-07-01,50536,FALSE
1987-08-01,50745,FALSE
1987-09-01,50518,FALSE
1987-10-01,50781,FALSE
