"Origin","Model","RMSE","MAE","Cov80","Cov95"
2023-08-01,"ARIMA(2,1,2)+drift",364.334065512621,273.234203488481,1,1
2023-08-01,"Holt-Winters additive",1385.27965489778,1280.80704513411,0.75,0.916666666666667
2023-08-01,"ARX(0)-GARCH(1,1) std",715.168081360252,638.790637425973,0.833333333333333,1
2023-08-01,"RW with drift",529.611737460275,459.424200661519,NA,NA
2023-09-01,"ARIMA(2,1,2)+drift",312.763747320093,227.52501225927,1,1
2023-09-01,"Holt-Winters additive",1172.97722620178,1087.03513964488,0.916666666666667,0.916666666666667
2023-09-01,"ARX(0)-GARCH(1,1) std",568.570097877601,482.959974443582,0.916666666666667,1
2023-09-01,"RW with drift",399.127470502081,315.259544787077,NA,NA
2023-10-01,"ARIMA(2,1,2)+drift",436.556414120284,347.675683037198,1,1
2023-10-01,"Holt-Winters additive",1064.33665772771,923.464871625912,0.833333333333333,0.916666666666667
2023-10-01,"ARX(0)-GARCH(1,1) std",679.446948533052,595.005165589384,0.916666666666667,1
2023-10-01,"RW with drift",502.114784278936,420.604510451045,NA,NA
2023-11-01,"ARIMA(2,1,2)+drift",427.223565333775,326.762302773879,1,1
2023-11-01,"Holt-Winters additive",776.200328762612,570.61505981259,0.916666666666667,0.916666666666667
2023-11-01,"ARX(0)-GARCH(1,1) std",629.800854768769,518.314026168842,0.916666666666667,1
2023-11-01,"RW with drift",462.475049208888,359.448534798534,NA,NA
2023-12-01,"ARIMA(2,1,2)+drift",355.405507779376,327.188930978067,0.916666666666667,1
2023-12-01,"Holt-Winters additive",352.353243294569,301.717845447152,0.916666666666667,1
2023-12-01,"ARX(0)-GARCH(1,1) std",391.401629588764,356.68159964131,0.916666666666667,1
2023-12-01,"RW with drift",385.121438999789,337.833333333333,NA,NA
2024-01-01,"ARIMA(2,1,2)+drift",506.702732096099,422.228576602568,1,1
2024-01-01,"Holt-Winters additive",1176.31793152087,1080.31709749737,0.5,0.916666666666667
2024-01-01,"ARX(0)-GARCH(1,1) std",681.482479867013,562.349337211708,1,1
2024-01-01,"RW with drift",534.825775988457,443.672697368421,NA,NA
2024-02-01,"ARIMA(2,1,2)+drift",406.351441041696,338.722610042479,1,1
2024-02-01,"Holt-Winters additive",922.873845043985,845.162999324387,0.5,1
2024-02-01,"ARX(0)-GARCH(1,1) std",508.610489879103,384.740425535763,1,1
2024-02-01,"RW with drift",417.619892305077,342.769258853595,NA,NA
2024-03-01,"ARIMA(2,1,2)+drift",423.298548446951,356.131661911787,1,1
2024-03-01,"Holt-Winters additive",326.776036412798,264.863334633273,1,1
2024-03-01,"ARX(0)-GARCH(1,1) std",454.344478517769,351.371432358612,1,1
2024-03-01,"RW with drift",403.783551305294,357.166119620716,NA,NA
2024-04-01,"ARIMA(2,1,2)+drift",463.583245301243,388.347041102404,1,1
2024-04-01,"Holt-Winters additive",495.775358056432,408.624897294518,0.916666666666667,1
2024-04-01,"ARX(0)-GARCH(1,1) std",579.860379831246,453.867039277991,0.916666666666667,1
2024-04-01,"RW with drift",496.298527299153,407.093442622951,NA,NA
2024-05-01,"ARIMA(2,1,2)+drift",455.35881734398,395.227918256347,0.916666666666667,1
2024-05-01,"Holt-Winters additive",559.844124175446,479.630008459427,0.833333333333333,1
2024-05-01,"ARX(0)-GARCH(1,1) std",508.881276146374,401.230863185136,0.916666666666667,1
2024-05-01,"RW with drift",449.99123068748,390.56113537118,NA,NA
2024-06-01,"ARIMA(2,1,2)+drift",446.493720433469,388.564626342672,1,1
2024-06-01,"Holt-Winters additive",613.362734953647,498.049371723003,1,1
2024-06-01,"ARX(0)-GARCH(1,1) std",444.854067768161,370.500869601664,1,1
2024-06-01,"RW with drift",552.570998916929,459.130679752817,NA,NA
2024-07-01,"ARIMA(2,1,2)+drift",402.351355445183,341.123831955185,1,1
2024-07-01,"Holt-Winters additive",653.722143601627,550.979222590825,0.916666666666667,1
2024-07-01,"ARX(0)-GARCH(1,1) std",397.907894618016,348.086566944912,0.916666666666667,1
2024-07-01,"RW with drift",470.691067159096,400.950980392156,NA,NA
2024-08-01,"ARIMA(2,1,2)+drift",436.066238522668,394.216199346721,1,1
2024-08-01,"Holt-Winters additive",380.490454025287,332.622789349675,1,1
2024-08-01,"ARX(0)-GARCH(1,1) std",552.301893076722,466.40527230912,0.833333333333333,1
2024-08-01,"RW with drift",460.884386860206,414.458832063837,NA,NA
2024-09-01,"ARIMA(2,1,2)+drift",404.498423843222,353.570478507034,1,1
2024-09-01,"Holt-Winters additive",449.555640928841,402.127918560587,0.916666666666667,1
2024-09-01,"ARX(0)-GARCH(1,1) std",435.8586653428,411.351101425082,0.833333333333333,1
2024-09-01,"RW with drift",405.996793637291,346.304710144927,NA,NA
2024-10-01,"ARIMA(2,1,2)+drift",499.194081364406,393.71528128399,0.916666666666667,1
2024-10-01,"Holt-Winters additive",407.163491719195,331.280664577287,0.916666666666667,1
2024-10-01,"ARX(0)-GARCH(1,1) std",529.769644589022,406.181056686039,0.833333333333333,1
2024-10-01,"RW with drift",623.552886681402,507.298236948434,NA,NA
2024-11-01,"ARIMA(2,1,2)+drift",556.724171764459,449.214663092675,0.916666666666667,1
2024-11-01,"Holt-Winters additive",535.899659044839,467.204466790941,0.833333333333333,1
2024-11-01,"ARX(0)-GARCH(1,1) std",616.490198597119,500.514512583644,0.666666666666667,0.916666666666667
2024-11-01,"RW with drift",713.327361507389,626.650575489257,NA,NA
2024-12-01,"ARIMA(2,1,2)+drift",564.470349968758,473.937267611421,0.833333333333333,0.916666666666667
2024-12-01,"Holt-Winters additive",493.7219325459,448.858084245473,0.833333333333333,0.916666666666667
2024-12-01,"ARX(0)-GARCH(1,1) std",557.137601662665,446.39077147621,0.666666666666667,0.916666666666667
2024-12-01,"RW with drift",639.29559304844,561.873855152774,NA,NA
2025-01-01,"ARIMA(2,1,2)+drift",389.557637458192,330.09478633727,1,1
2025-01-01,"Holt-Winters additive",870.747908201503,796.422967817108,0.916666666666667,1
2025-01-01,"ARX(0)-GARCH(1,1) std",736.941681968035,664.272454062223,1,1
2025-01-01,"RW with drift",604.551473174692,532.176797246468,NA,NA
2025-02-01,"ARIMA(2,1,2)+drift",309.272012315681,274.955109454284,1,1
2025-02-01,"Holt-Winters additive",823.27540452637,771.433659719982,0.916666666666667,1
2025-02-01,"ARX(0)-GARCH(1,1) std",611.82850650476,543.183024940954,1,1
2025-02-01,"RW with drift",496.222433842585,416.882295081966,NA,NA
2025-03-01,"ARIMA(2,1,2)+drift",367.134219247723,301.056445812289,1,1
2025-03-01,"Holt-Winters additive",600.929851049557,557.073112212942,0.916666666666667,1
2025-03-01,"ARX(0)-GARCH(1,1) std",529.381790512897,477.830513390173,1,1
2025-03-01,"RW with drift",430.799764077622,363.718558580884,NA,NA
2025-04-01,"ARIMA(2,1,2)+drift",384.327322219843,324.146754279847,1,1
2025-04-01,"Holt-Winters additive",710.064125227132,676.386274666515,0.833333333333333,1
2025-04-01,"ARX(0)-GARCH(1,1) std",620.505510114823,590.148582512509,0.75,1
2025-04-01,"RW with drift",517.774307440691,464.499080410985,NA,NA
2025-05-01,"ARIMA(2,1,2)+drift",222.739103709377,178.705352380858,1,1
2025-05-01,"Holt-Winters additive",276.391226124959,204.686672561307,1,1
2025-05-01,"ARX(0)-GARCH(1,1) std",209.375528146615,178.189158787149,1,1
2025-05-01,"RW with drift",234.027351817349,170.013372668174,NA,NA
2025-06-01,"ARIMA(2,1,2)+drift",229.848442197853,170.806350367791,1,1
2025-06-01,"Holt-Winters additive",270.97573312083,204.091228213877,0.916666666666667,1
